#{"t_start": 1686392103.6238568, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,509,6.64637
1.0,719,13.775308
0.0,521,18.722443
0.0,515,23.871182
5.0,1364,38.57114
0.0,515,43.700155
2.0,817,52.198412
0.0,516,57.325625
2.0,908,66.715581
0.0,525,71.789105
0.0,539,76.920964
0.0,524,82.060878
0.0,520,87.194881
1.0,640,93.502924
0.0,535,98.504755
0.0,515,103.524475
0.0,513,108.501964
0.0,512,113.561849
0.0,515,118.540188
1.0,647,124.910215
0.0,526,129.985867
9.0,1628,147.318905
0.0,528,152.289605
0.0,540,157.401229
0.0,528,162.526828
0.0,531,167.688259
2.0,811,175.959236
9.0,1620,193.320802
0.0,535,198.380978
0.0,521,203.56705
3.0,1080,214.957703
1.0,647,221.212707
0.0,521,226.341228
5.0,1406,241.524419
0.0,509,246.509415
9.0,1620,263.881079
14.0,2048,285.845819
2.0,834,294.265597
0.0,536,299.395431
0.0,516,304.476795
0.0,521,309.64819
2.0,829,318.061213
5.0,1422,333.075995
9.0,1616,350.472149
0.0,521,355.608839
0.0,521,360.734578
0.0,535,365.841645
4.0,1214,378.547606
4.0,1205,391.260452
9.0,1644,408.709936
0.0,528,413.918731
0.0,537,419.102682
0.0,519,424.06302
0.0,527,429.214347
0.0,517,434.225269
0.0,524,439.31416
0.0,515,444.521214
0.0,525,449.671257
2.0,809,458.095453
1.0,720,465.252793
4.0,1130,476.838683
9.0,1644,494.1189
1.0,621,500.320086
6.0,1604,517.448301
5.0,1291,530.948109
5.0,1409,546.075498
3.0,1097,557.514708
3.0,939,567.300946
3.0,1031,577.828305
3.0,1010,588.410048
0.0,528,593.56564
5.0,1344,607.807239
4.0,1084,618.990114
0.0,521,624.075497
8.0,1681,642.050771
7.0,1616,659.044237
9.0,2083,681.575843
3.0,867,690.580826
6.0,1380,705.07533
11.0,2034,726.672151
8.0,1789,745.856681
2.0,823,754.143467
11.0,2074,776.365158
6.0,1471,791.783925
9.0,1713,810.202555
13.0,1473,825.67399
9.0,2111,848.07776
11.0,1892,868.454603
19.0,3148,902.479967
4.0,1288,916.043093
16.0,2195,939.485259
15.0,2108,962.202079
23.0,3475,999.844044
16.0,2294,1024.439072
16.0,2718,1053.754376
18.0,2546,1081.129895
16.0,2831,1111.825408
16.0,2222,1135.477683
22.0,2605,1163.700834
13.0,1350,1178.009531
14.0,2867,1208.773074
21.0,2900,1239.943581
11.0,2552,1267.271782
13.0,2131,1289.802784
18.0,1698,1307.913657
15.0,1606,1324.886685
16.0,1742,1343.356508
11.0,1091,1354.687932
12.0,2375,1380.076437
11.0,1087,1391.504455
0.0,515,1396.722259
0.0,543,1401.910044
0.0,515,1407.262261
0.0,536,1412.479199
11.0,1111,1424.134556
0.0,526,1429.377779
11.0,1087,1440.988246
0.0,518,1446.154515
0.0,516,1451.36308
0.0,524,1456.570784
0.0,538,1461.802096
11.0,1095,1473.52186
20.0,3148,1507.39493
28.0,3064,1540.281966
13.0,2664,1568.908632
18.0,2770,1598.748342
6.0,1484,1614.476126
20.0,3106,1647.853908
25.0,2936,1679.398314
30.0,3530,1717.590518
27.0,3576,1756.481883
12.0,1159,1768.479408
39.0,3892,1810.918322
22.0,2623,1839.849538
25.0,2589,1868.077271
9.0,2006,1889.467909
17.0,2870,1920.35702
15.0,2782,1950.474154
30.0,2647,1978.986884
22.0,2334,2003.914311
26.0,3548,2042.244755
40.0,4365,2089.698833
21.0,1981,2110.964369
33.0,3793,2152.405064
45.0,4706,2203.888883
1.0,645,2210.440272
26.0,3076,2243.538866
33.0,2820,2274.07152
20.0,3188,2308.354508
24.0,3474,2346.139601
21.0,2784,2376.140523
25.0,2409,2402.446755
25.0,3168,2436.876694
12.0,2334,2462.023331
26.0,3119,2495.777201
23.0,3025,2528.493313
31.0,4368,2576.24807
35.0,3220,2611.122465
26.0,3034,2644.273054
35.0,2957,2676.217428
30.0,2837,2706.973759
20.0,1991,2728.097187
23.0,2289,2752.520699
36.0,4085,2796.848393
40.0,3739,2837.378441
56.0,5375,2895.848071
36.0,2465,2922.096067
34.0,3051,2954.773153
48.0,3197,2989.045437
6.0,1492,3004.806707
14.0,2046,3026.52877
40.0,4883,3079.545783
38.0,4209,3125.311924
30.0,3651,3165.031986
22.0,2440,3191.315884
37.0,4036,3235.058692
37.0,3560,3273.478292
30.0,3520,3311.30923
30.0,3714,3351.785405
67.0,4992,3406.273747
39.0,4829,3458.808784
23.0,3050,3491.632146
72.0,5948,3556.435123
67.0,6109,3623.301151
29.0,3441,3660.765597
62.0,6064,3727.031228
33.0,2977,3759.228096
75.0,5645,3820.895933
115.0,6283,3889.085165
56.0,3734,3929.449681
47.0,3697,3969.643829
29.0,3061,4002.998275
7.0,1403,4017.858064
51.0,4946,4071.561226
41.0,4014,4115.009306
78.0,4846,4167.750104
81.0,5645,4229.139869
46.0,4181,4274.613012
15.0,2186,4298.203654
83.0,5364,4356.694573
98.0,6030,4422.661316
78.0,6365,4492.326826
62.0,5533,4552.511604
56.0,4352,4599.472279
48.0,4453,4647.724015
58.0,5768,4710.465658
63.0,4947,4763.971296
67.0,6294,4832.625296
64.0,5758,4895.223549
75.0,6130,4961.870289
53.0,4850,5014.407164
88.0,5531,5074.154651
91.0,6080,5140.112859
332.0,6315,5208.85987
56.0,5231,5265.735576
11.0,1926,5286.180004
24.0,2440,5312.402784
21.0,3122,5346.022142
47.0,4640,5396.124014
47.0,5039,5450.707018
90.0,5217,5507.091171
190.0,6476,5577.562127
40.0,3817,5619.171315
81.0,5131,5675.019561
63.0,5286,5732.93626
33.0,3746,5773.589041
32.0,2224,5797.22692
67.0,4942,5850.888471
105.0,6228,5918.813337
17.0,2405,5944.564592
98.0,5814,6007.906238
24.0,3217,6042.443791
45.0,4329,6089.560024
59.0,5096,6145.190983
81.0,5484,6205.217491
62.0,2698,6234.326331
88.0,6259,6303.267214
39.0,4150,6349.679713
113.0,5598,6412.219462
31.0,3231,6447.304538
13.0,2380,6472.964547
57.0,4031,6517.182427
42.0,3778,6558.703211
72.0,5737,6621.549348
33.0,3389,6658.25326
240.0,6977,6734.062974
74.0,4648,6784.425081
76.0,4943,6838.255052
150.0,6797,6912.170717
66.0,3634,6950.797923
88.0,5325,7007.807006
274.0,5922,7072.394934
109.0,5684,7134.24138
105.0,6714,7207.231875
47.0,3169,7241.391442
197.0,5727,7303.985558
91.0,6147,7371.110849
195.0,6762,7445.111129
303.0,7386,7525.809767
52.0,5079,7580.851837
72.0,5679,7642.866454
114.0,6092,7709.616806
69.0,5390,7768.44747
77.0,4706,7819.867376
82.0,6018,7885.332193
57.0,4152,7930.599549
77.0,6902,8006.261534
122.0,6079,8072.862783
100.0,5802,8136.01838
43.0,3996,8179.152492
98.0,6115,8245.937804
222.0,7454,8327.629138
58.0,5384,8386.587791
93.0,6705,8460.123006
82.0,5945,8525.397314
102.0,6243,8594.098351
115.0,7050,8671.652197
90.0,6395,8741.99451
108.0,7155,8819.987898
101.0,4588,8869.893286
116.0,5914,8934.733698
125.0,5832,8998.715952
85.0,6038,9064.894959
375.0,7629,9148.578639
119.0,5482,9208.449019
75.0,5023,9263.217812
66.0,4638,9314.34414
269.0,6860,9389.207607
29.0,2919,9420.650135
71.0,5028,9475.76712
41.0,3780,9516.865886
108.0,6039,9582.409947
54.0,5259,9639.186728
6.0,1245,9652.081279
192.0,5954,9716.854784
65.0,4785,9769.591509
279.0,6918,9846.384407
67.0,6142,9914.405526
106.0,6221,9982.215005
83.0,5103,10038.194226
86.0,6428,10108.581715
253.0,6883,10184.075882
28.0,3021,10216.797857
0.0,532,10222.036341
0.0,531,10227.266189
11.0,1091,10238.952641
11.0,1099,10250.519529
0.0,516,10255.729172
0.0,535,10260.944968
19.0,3181,10295.282423
23.0,3939,10337.714449
169.0,7195,10415.997736
343.0,8217,10504.685629
118.0,5663,10565.456641
242.0,6640,10636.973662
73.0,5880,10700.943319
61.0,4674,10752.130583
176.0,4486,10800.91256
338.0,6597,10872.960758
75.0,5994,10938.236514
116.0,6056,11004.513909
99.0,5782,11067.337034
224.0,7814,11152.628638
43.0,4212,11198.292684
11.0,1099,11209.977861
42.0,3275,11245.306786
255.0,6895,11320.504574
101.0,4901,11373.766147
80.0,6601,11445.545371
43.0,3120,11479.02832
226.0,5837,11542.538402
170.0,6396,11612.715025
61.0,5146,11668.172425
86.0,5389,11726.446641
91.0,6234,11794.400005
359.0,7501,11877.437007
131.0,6617,11950.037264
172.0,5755,12013.070985
88.0,6585,12085.308434
196.0,6901,12160.970266
130.0,6485,12231.591812
112.0,5836,12295.048795
95.0,6021,12360.726792
122.0,5634,12422.311598
72.0,4644,12473.308283
35.0,3191,12507.635874
272.0,6415,12577.118338
134.0,6826,12651.320918
122.0,6581,12722.709729
305.0,6630,12794.53099
176.0,7927,12880.976003
287.0,6081,12947.076608
169.0,7784,13031.857288
107.0,6435,13101.970727
85.0,5725,13164.211633
59.0,4469,13212.563321
274.0,7964,13299.010756
147.0,5267,13356.022862
199.0,6212,13423.080178
231.0,7531,13505.15704
87.0,6218,13572.959659
61.0,5369,13631.260346
112.0,5916,13695.364185
85.0,5621,13756.426505
99.0,5211,13812.827747
52.0,3633,13851.697811
72.0,5583,13912.24905
333.0,7683,13996.104472
264.0,6274,14064.34775
123.0,6221,14132.109144
55.0,4624,14182.373288
247.0,6374,14251.583903
112.0,5821,14315.268025
75.0,4411,14363.170516
264.0,7058,14440.493932
103.0,6280,14509.167379
113.0,6650,14582.00869
116.0,5030,14637.008854
130.0,6503,14708.633052
137.0,6545,14780.457736
71.0,6009,14846.554356
149.0,6930,14922.668122
157.0,5952,14988.047614
265.0,6875,15063.594224
90.0,6392,15133.766165
381.0,5047,15188.856723
10.0,1911,15209.54343
11.0,1099,15221.228912
6.0,1402,15236.170344
111.0,5276,15294.00187
39.0,4469,15342.65295
168.0,6260,15411.455256
100.0,7096,15489.375353
41.0,4178,15535.154329
0.0,524,15540.382361
14.0,1402,15555.490623
233.0,6194,15623.611077
284.0,7494,15705.853258
102.0,5585,15766.713795
184.0,8406,15859.324888
309.0,5583,15920.74479
63.0,5171,15977.692649
199.0,7529,16060.554413
174.0,7577,16144.328521
387.0,9032,16243.167728
119.0,6172,16310.303979
101.0,4808,16362.309555
290.0,8467,16454.635164
60.0,3520,16492.797547
263.0,6659,16565.049198
251.0,6051,16630.831809
163.0,7390,16711.128783
108.0,6382,16780.51075
316.0,8052,16868.271152
290.0,7296,16948.167418
165.0,7884,17034.159497
370.0,8301,17125.213516
134.0,5878,17188.971265
251.0,7344,17268.954444
293.0,7263,17347.990788
379.0,7440,17429.133724
53.0,5363,17487.471884
389.0,7997,17574.344481
128.0,5877,17638.179544
58.0,4633,17688.18836
75.0,5003,17742.321445
52.0,4019,17785.857766
177.0,7816,17872.306134
197.0,7478,17953.343195
297.0,9029,18051.642457
